Summary,Status,Priority,Due date,Description,Component,Resolution type,Resolved date,Risk type,Assignee (S),Reporter (S)
System C lacks documented release processes and R&R for approvals.,In Progress,Low,2025-04-06,System C Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,System C,,,Change Management Risk,takuya.mori@example.com,mei.kuroda@example.com
System B contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,,System B Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,System B,,,Data Integrity Risk,takuya.mori@example.com,shohei.suzuki@example.com
System B relies on unvetted external vendors for critical operations.,In Progress,Low,2025-04-11,System B Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,System B,,,Third-Party Risk,takuya.mori@example.com,shohei.suzuki@example.com
System B lacks encryption and secure transmission protocols.,In Progress,Medium,2025-04-07,System B Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,System B,,,Data Security Risk,takuya.mori@example.com,shohei.suzuki@example.com
System B has experienced unplanned outages due to missing redundancy.,To Do,High,,System B Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,System B,,,System Availability Risk,takuya.mori@example.com,mei.kuroda@example.com
System C is not aligned with regulatory standards or lacks compliance documentation.,In Progress,Low,2025-04-22,System C Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,System C,,,Compliance Risk,takuya.mori@example.com,mei.kuroda@example.com
API Gateway lacks documented release processes and R&R for approvals.,In Progress,High,2025-04-24,API Gateway Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,API Gateway,,,Change Management Risk,takuya.mori@example.com,shohei.suzuki@example.com
Admin Console has experienced unplanned outages due to missing redundancy.,Done,Medium,2025-04-29,Admin Console Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,Admin Console,Won't resolve,2025-03-22,System Availability Risk,takuya.mori@example.com,mei.kuroda@example.com
System B has inefficient workflows causing repeated processing errors.,To Do,Low,,System B Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,System B,Accepted,2025-02-16,Operational Risk,takuya.mori@example.com,shohei.suzuki@example.com
System B has inefficient workflows causing repeated processing errors.,To Do,High,,System B Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,System B,,,Operational Risk,alice.nakamura@example.com,mei.kuroda@example.com
HR Portal relies on unvetted external vendors for critical operations.,Done,Low,2025-04-19,HR Portal Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,HR Portal,Resolved,2025-03-31,Third-Party Risk,takuya.mori@example.com,shohei.suzuki@example.com
