Summary,Risk Type,Description,Assignee,Reporter,Priority,Start Date,Due Date,Status,Resolution Type,Resolved Date,Component,Risk Assessment
[ARSK-13] [Finance App is susceptible to insider misuse due to weak monitoring.] - QA 3052,Insider Threat Risk,Finance App Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,airi.matsumoto@example.com,haruka.kobayashi@example.com,Low,2025-02-19,,Closed,Avoided,2025-03-10,Finance App,RA-FinanceApp-2025
[ARSK-74] [System A is susceptible to insider misuse due to weak monitoring.],Insider Threat Risk,System A Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,haruka.kobayashi@example.com,Low,2025-03-05,2025-04-25,On Hold,,,System A,RA-SystemA-2025
[ARSK-60] [API Gateway contains inconsistent or corrupted entries due to lack of validation.] - QA 4378,Data Integrity Risk,API Gateway Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,haruka.kobayashi@example.com,Medium,2025-03-19,,Approval in Progress,Accepted,2025-03-23,API Gateway,RA-APIGateway-2025
[ARSK-100] [Cloud Service X lacks encryption and secure transmission protocols.],Data Security Risk,Cloud Service X Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,sota.fujikawa@example.com,shohei.suzuki@example.com,Medium,2025-03-30,2025-04-28,On Hold,,,Cloud Service X,RA-CloudServiceX-2025
[ARSK-19] [Finance App lacks documented release processes and R&R for approvals.],Change Management Risk,Finance App Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,haruka.kobayashi@example.com,Low,2025-02-27,2025-05-02,Approval in Progress,,,Finance App,RA-FinanceApp-2025
[ARSK-25] [Customer DB grants unnecessary privileges to non-admin users.] - QA 2350,Access Control Risk,Customer DB Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,yuki.tanaka@example.com,haruka.kobayashi@example.com,Critical,2025-02-12,2025-04-25,Mitigation in Progress,,,Customer DB,RA-CustomerDB-2025
[ARSK-88] [API Gateway relies on unvetted external vendors for critical operations.] - QA 8140,Third-Party Risk,API Gateway Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,haruka.kobayashi@example.com,Medium,2025-03-09,2025-05-01,Approval in Progress,Accepted,2025-03-20,API Gateway,RA-APIGateway-2025
[ARSK-85] [Cloud Service X has experienced unplanned outages due to missing redundancy.],System Availability Risk,Cloud Service X Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,daichi.aoyama@example.com,shohei.suzuki@example.com,Medium,2025-03-16,2025-04-27,On Hold,,,Cloud Service X,RA-CloudServiceX-2025
[ARSK-90] [System B has inefficient workflows causing repeated processing errors.] - QA 4333,Operational Risk,System B Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,mei.kuroda@example.com,Medium,2025-02-09,,Closed,,,System B,RA-SystemB-2025
[ARSK-7] [API Gateway has inefficient workflows causing repeated processing errors.] - QA 2040,Operational Risk,API Gateway Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,erika.watanabe@example.com,mei.kuroda@example.com,Low,2025-02-09,,Mitigation in Progress,,,API Gateway,RA-APIGateway-2025
[ARSK-21] [HR Portal lacks documented release processes and R&R for approvals.] - QA 1675,Change Management Risk,HR Portal Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,shohei.suzuki@example.com,High,2025-03-01,2025-04-20,Mitigation in Progress,Accepted,2025-03-23,HR Portal,RA-HRPortal-2025
[ARSK-69] [Customer DB has experienced unplanned outages due to missing redundancy.] - QA 1040,System Availability Risk,Customer DB Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,daichi.aoyama@example.com,shohei.suzuki@example.com,Low,2025-03-11,2025-04-18,Closed,,,Customer DB,RA-CustomerDB-2025
