Summary,Risk Type,Description,Assignee,Reporter,Priority,Start Date,Due Date,Status,Resolution Type,Resolved Date,Component
[RISK-1] [System C lacks encryption and secure transmission protocols.],Data Security Risk,System C Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,shohei.suzuki@example.com,High,2025-03-11,2025-04-12,In Review,,,System C
[RISK-2] [Cloud Service X contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,Cloud Service X Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,haruka.kobayashi@example.com,Medium,2025-03-24,2025-05-01,To Do,,,Cloud Service X
[RISK-3] [Admin Console has inefficient workflows causing repeated processing errors.],Operational Risk,Admin Console Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,shohei.suzuki@example.com,Medium,2025-04-02,2025-04-26,Closed,Duplicate,2025-04-03,Admin Console
[RISK-4] [API Gateway relies on unvetted external vendors for critical operations.],Third-Party Risk,API Gateway Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,hiroki.yamashita@example.com,mei.kuroda@example.com,High,2025-03-30,,Closed,Duplicate,2025-04-03,API Gateway
[RISK-5] [Admin Console relies on unvetted external vendors for critical operations.],Third-Party Risk,Admin Console Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,mei.kuroda@example.com,High,2025-02-11,,In Review,,,Admin Console
[RISK-6] [HR Portal lacks encryption and secure transmission protocols.],Data Security Risk,HR Portal Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,airi.matsumoto@example.com,mei.kuroda@example.com,High,2025-03-08,2025-04-10,Closed,Third party,2025-03-25,HR Portal
[RISK-7] [API Gateway has inefficient workflows causing repeated processing errors.],Operational Risk,API Gateway Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,erika.watanabe@example.com,mei.kuroda@example.com,Medium,2025-02-09,,In Review,,,API Gateway
[RISK-8] [System A is susceptible to insider misuse due to weak monitoring.],Insider Threat Risk,System A Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,yuki.tanaka@example.com,mei.kuroda@example.com,Low,2025-02-16,2025-04-24,To Do,,,System A
[RISK-9] [HR Portal contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,HR Portal Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,haruka.kobayashi@example.com,Medium,2025-02-27,2025-04-30,In Progress,,,HR Portal
[RISK-10] [System B has experienced unplanned outages due to missing redundancy.],System Availability Risk,System B Has experienced unplanned outages due to missing redundancy. This poses a system availability risk and should be reviewed for proper mitigation steps.,airi.matsumoto@example.com,haruka.kobayashi@example.com,Medium,2025-02-09,2025-04-26,To Do,,,System B
[RISK-11] [Admin Console is not aligned with regulatory standards or lacks compliance documentation.],Compliance Risk,Admin Console Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,takumi.nishida@example.com,shohei.suzuki@example.com,Medium,2025-03-13,,To Do,,,Admin Console
[RISK-12] [System B contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,System B Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,erika.watanabe@example.com,mei.kuroda@example.com,High,2025-03-26,2025-04-19,To Do,,,System B
[RISK-13] [Finance App is susceptible to insider misuse due to weak monitoring.],Insider Threat Risk,Finance App Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,airi.matsumoto@example.com,haruka.kobayashi@example.com,Medium,2025-02-19,,Closed,Invalid,2025-03-10,Finance App
[RISK-14] [System B lacks documented release processes and R&R for approvals.],Change Management Risk,System B Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,shohei.suzuki@example.com,High,2025-02-04,,To Do,,,System B
[RISK-15] [System C is susceptible to insider misuse due to weak monitoring.],Insider Threat Risk,System C Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,hiroki.yamashita@example.com,mei.kuroda@example.com,Medium,2025-02-02,2025-04-08,In Review,,,System C
[RISK-16] [API Gateway contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,API Gateway Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,shohei.suzuki@example.com,High,2025-02-15,2025-04-22,To Do,,,API Gateway
[RISK-17] [System A contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,System A Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,haruka.kobayashi@example.com,High,2025-02-24,,In Progress,,,System A
